tribunal,grau,numero,classe,orgao,ano_ajuizamento,duracao_dias,qtd_movimentos,desfecho
TRF3,JE,00012193520104036319,Procedimento do Juizado Especial Cível,1ª VARA FED. DE LINS,2010.0,913.0,27,favorável
TRF3,JE,00012208320114036319,Procedimento do Juizado Especial Cível,1ª VARA FED. DE LINS,2011.0,118.0,9,sem sentença identificada
TRF3,JE,00012441920084036319,Procedimento do Juizado Especial Cível,1ª VARA FED. DE LINS,2008.0,832.0,12,sem sentença identificada
TRF3,JE,00011937120094036319,Procedimento do Juizado Especial Cível,1ª VARA FED. DE LINS,2011.0,260.0,24,desfavorável
TRF3,JE,00011965520114036319,Procedimento do Juizado Especial Cível,1ª VARA FED. DE LINS,2011.0,252.0,12,desfavorável
TRF3,JE,00012407920084036319,Procedimento do Juizado Especial Cível,1ª VARA FED. DE LINS,2008.0,832.0,9,sem sentença identificada
TRF3,JE,00012898120124036319,Procedimento do Juizado Especial Cível,1ª VARA FED. DE LINS,2013.0,397.0,58,desfavorável
TRF3,JE,00012955920104036319,Procedimento do Juizado Especial Cível,1ª VARA FED. DE LINS,2011.0,328.0,33,desfavorável
TRF3,JE,00013556120124036319,Procedimento do Juizado Especial Cível,1ª VARA FED. DE LINS,2012.0,482.0,20,desfavorável
TRF3,JE,00012846420094036319,Procedimento do Juizado Especial Cível,1ª VARA FED. DE LINS,2011.0,1017.0,24,desfavorável
TRF3,JE,00013599820124036319,Procedimento do Juizado Especial Cível,1ª VARA FED. DE LINS,2012.0,536.0,47,favorável
TRF3,JE,00012863420094036319,Procedimento do Juizado Especial Cível,1ª VARA FED. DE LINS,2009.0,292.0,15,desfavorável
TRF3,JE,00012975820124036319,Procedimento do Juizado Especial Cível,1ª VARA FED. DE LINS,2012.0,710.0,30,sem sentença identificada
TRF3,JE,00013934420104036319,Procedimento do Juizado Especial Cível,1ª VARA FED. DE LINS,2012.0,630.0,41,favorável
TRF3,JE,00014108020104036319,Procedimento do Juizado Especial Cível,1ª VARA FED. DE LINS,2010.0,1033.0,24,favorável
TRF3,JE,00014191320084036319,Procedimento do Juizado Especial Cível,1ª VARA FED. DE LINS,2008.0,780.0,10,acordo
